measurement_time	Y	X	Z
6716615342806097920	0.732086	0.510193	0.134491
6716615365255891968	0.732086	0.509888	0.134583
6716615387727161344	0.732513	0.508209	0.134491
6716615410593566720	0.735626	0.512054	0.134369
6716615432764187648	0.733185	0.510651	0.134521
6716615455347126272	0.73114	0.510284	0.134521
6716615477805509632	0.72995	0.508972	0.134644
6716615500113569792	0.732422	0.510223	0.134552
6716615522670738432	0.730194	0.509338	0.134552
6716615545219316736	0.734253	0.513916	0.134277
6716615567858088960	0.732147	0.511627	0.134521
6716615590445322240	0.732239	0.509369	0.134399
6716615612912295936	0.734802	0.510803	0.134735
6716615635443694592	0.732544	0.510864	0.134583
6716615657794704384	0.731201	0.508514	0.134827
6716615680420592640	0.733704	0.510956	0.134583
6716615702720062464	0.732117	0.510315	0.134644
6716615725187036160	0.730499	0.509003	0.134552
6716615747830104064	0.733917	0.513977	0.134583
6716615770382977024	0.732452	0.511139	0.134552
6716615792858541056	0.734741	0.513275	0.134644
6716615815342694400	0.735565	0.512146	0.134583
6716615837891272704	0.733246	0.509735	0.134613
6716615860512866304	0.733002	0.511383	0.134583
6716615882820926464	0.732513	0.510406	0.134613
6716615918189981696	0.731628	0.509674	0.13443
6716615941060682752	0.733795	0.510925	0.134552
6716615962634303488	0.732727	0.511566	0.134552
6716615983825672192	0.730377	0.510468	0.134613
6716616005364932608	0.733978	0.509216	0.134338
6716616026736690176	0.731781	0.507111	0.134705
6716616048104152064	0.733368	0.509979	0.134491
6716616069394305024	0.732147	0.507446	0.134857
6716616090877731840	0.734528	0.512268	0.134491
6716616112283848704	0.732056	0.509155	0.134552
6716616133926189056	0.731201	0.509583	0.134613
6716616156668041216	0.733032	0.511536	0.134644
6716616178353331200	0.731567	0.509064	0.134674
6716616199849641984	0.732086	0.507141	0.134857
6716616222947976192	0.733734	0.510162	0.134644
6716616244452877312	0.731445	0.50708	0.134918
6716616267319283712	0.733765	0.511078	0.134583
6716616288867134464	0.732056	0.510925	0.134644
6716616310110042112	0.734009	0.509644	0.134674
6716616331700843520	0.733307	0.512177	0.134308
6716616353373248512	0.733276	0.509155	0.134552
6716616376200998912	0.733154	0.509613	0.134644
6716616397577051136	0.735016	0.512482	0.134491
6716616419172147200	0.733521	0.514191	0.134521
6716616442064322560	0.733521	0.51004	0.134613
6716616463702368256	0.730652	0.505707	0.134705
6716616486590248960	0.733643	0.511108	0.134674
6716616508150984704	0.73172	0.51004	0.134521
6716616529569986560	0.735413	0.510986	0.134766
6716616552844413952	0.732422	0.509552	0.134552
6716616587427490816	0.732727	0.509338	0.134674
6716616610225177600	0.732788	0.509033	0.134521
6716616631841747968	0.732941	0.508972	0.134705
6716616653273634816	0.733887	0.512817	0.134338
6716616674623917056	0.732147	0.510254	0.134705
6716616696373630976	0.732391	0.511475	0.134796
6716616717900007424	0.732819	0.511292	0.13443
6716616739460743168	0.731079	0.510162	0.134521
6716616761133148160	0.733856	0.510864	0.13446
6716616782470545408	0.732849	0.509918	0.134583
6716616804319044608	0.734375	0.512421	0.134521
6716616825750931456	0.732086	0.509705	0.134552
6716616847088328704	0.731842	0.510468	0.134644
6716616868992661504	0.733948	0.509827	0.13446
6716616890381598720	0.733917	0.5112	0.134644
